context,question,answer,url
"APC shares traded on UPCoM from May 15 After leaving HOSE due to the compulsory listed, more than 20.1 million shares of An Phu irradiation Joint Stock Company (APIRA) with the APC stock code will start trading on UPCoM on May 15, 2024.With a reference price of VND 7,100/share, APC capitalization is estimated at VND 143 billion. The Hanoi Stock Exchange (HNX) has approved more than 20.1 million APC shares traded on the UPCoM market.The first trading date is May 15/2024 for 7.100 VND/share. Previously, more than 20.1 million APC shares were canceled by the Securities Department of Ho Chi",When will APC shares start trading on UPCoM?,"May 15, 2024.",https://vietstock.vn/2024/05/co-phieu-apc-giao-dich-tro-lai-tren-upcom-tu-1505-741-1188884.htm
"APG Chairman Nguyen Ho Hung wants to become a big shareholder APG Securities Joint Stock Company (HOSE: APG) has successfully offered 70 million separate shares for 11,000 VND/share and earned 770 billion VND.On the eve of the new shareholders, President Nguyen Ho Hung registered to buy more shares to raise the ownership exceeding 5% at APG. Chairman Nguyen Ho Hung.Photo: APG Mr. Nguyen Ho Hung - Chairman of APG Board has just registered to buy 1 million APG shares for personal investment purposes.Expected transactions are implemented from May 10, 06/06/2024. If the transaction is successful, Mr. Hung will raise its",How many APG shares did Chairman Nguyen Ho Hung register to buy?,1 million shares.,https://vietstock.vn/2024/05/chu-tich-apg-nguyen-ho-hung-muon-tro-thanh-co-dong-lon-739-1188437.htm
"(ĐTCK) Notable securities events information on May 9 on listed businesses on the stock market. * DAG: On 7/5, Ho Chi Minh Stock Exchange (HOSE) issued a decision to transfer shares of Dong A Plastic Group Joint Stock Company (DAG - HOSE) from a warning to control from the 14th./5/2024.The reason is that DAG has late to submit audited financial statements in 2023 beyond the prescribed time limit. * TNH: Thai Nguyen International Hospital Joint Stock Company (TNH - HOSE) through the issuance of more than 15.2 million shares offered to shareholders in a ratio of 100: 13,7981, with the",Why were DAG shares moved from a warning to control by HOSE?,Because DAG submitted audited financial statements late.,https://www.tinnhanhchungkhoan.vn/su-kien-chung-khoan-dang-chu-y-ngay-115-post344991.html
"(ĐTCK) Notable securities events information on May 9 on listed businesses on the stock market. * DAG: On 7/5, Ho Chi Minh Stock Exchange (HOSE) issued a decision to transfer shares of Dong A Plastic Group Joint Stock Company (DAG - HOSE) from a warning to control from the 14th./5/2024.The reason is that DAG has late to submit audited financial statements in 2023 beyond the prescribed time limit. * TNH: Thai Nguyen International Hospital Joint Stock Company (TNH - HOSE) through the issuance of more than 15.2 million shares offered to shareholders in a ratio of 100: 13,7981, with the",Why were DAG shares moved from a warning to control by HOSE?,Because DAG submitted audited financial statements late.,https://www.tinnhanhchungkhoan.vn/su-kien-chung-khoan-dang-chu-y-ngay-95-post344831.html
"Not yet difficulties, diaper cement is extended with a string of losses Bim Son Cement Joint Stock Company (HNX: BCC) said that the demand for using cement is gradually lower than the removable cement, continuing to reduce the advantage and brand of the company's cement, greatly affecting the efficiency of productivitybusiness. In the first quarter of 2024, BCC recorded a net revenue of 690 billion dong, down 19% compared to the same period last year and a net loss of nearly 49 billion dong, the same period of nearly 47 billion dong.This is also the 7th consecutive loss of the",How much net revenue did Bim Son Cement record in the first quarter of 2024?,690 billion dong.,https://vietstock.vn/2024/05/chua-het-kho-khan-xi-mang-bim-son-noi-dai-chuoi-thua-lo-737-1188438.htm
"GVR is about to receive nearly 79 billion dong dividend from Ba Ria rubber Ba Ria Rubber (BRR) is expected to dividend in 2023 by 7%cash.Owning up to 97.47% of the capital in BRR, it is estimated that the parent company GVR will collect nearly 77 billion dong of dividends. The Board of Directors of Ba Ria Rubber Joint Stock Company (Baruco, UPCoM: BRR) announced a resolution to pay dividends in 2023 in a cash rate of 7% (1 stock received 700 VND), equivalent to the approved rate at the annual shareholder of 2024. BRR said the final registration date",What percentage of the dividend will BRR pay in cash for 2023?,7%.,https://vietstock.vn/2024/05/gvr-sap-nhan-gan-79-ty-dong-co-tuc-tu-cao-su-ba-ria-738-1188585.htm
"According to BSC, in May the support information will gradually gradually published financial statements, General Meeting of Shareholders and business plans in April.contract. According to the April Report of BIDV Securities (BSC), VN-Index ended the last month at 1,209.52 points, down nearly 75 points (-5.81%) compared to the end of March., foreign investors are continuously net selling, along with the exchange rate pressure creates certain risks. In terms of valuation, P/E VN-Index ended in April at 14.55 times, down 5.48% compared to March, discount 7.42% compared to P/E on average 5 years and fluctuations around-1 regional deviation;P/B April at 1.73",How many points did the VN-Index drop in April compared to March?,Nearly 75 points.,https://vietnambiz.vn/bsc-dinh-gia-thi-truong-tro-ve-vung-hap-dan-sau-nhip-dieu-chinh-20245716509814.htm
"(ĐTCK) On May 7, the Inspectorate of the State Securities Commission (SSC) has just issued a decision to sanction administrative violations for BV Land Joint Stock Company (UPCoM: BVL) with a total fine of 172.5 millioncopper. Specifically, a fine of VND 60 million for acts of publishing information improperly in accordance with the law.Accordingly, BVL published information on time on the system of information disclosure of the SSC, the website of the electronic information disclosure of the Hanoi Stock Exchange (HNX (and the company's websiteWith the Decision on October 7, 2022 of Dong Da District Tax Department on administrative sanctions",How much was BV Land Joint Stock Company fined for administrative violations?,VND 172.5 million.,https://www.tinnhanhchungkhoan.vn/bv-land-bvl-bi-uy-ban-chung-khoan-xu-phat-1725-trieu-dong-post344838.html
"56% profit after more than 3 years of investment, big shareholders Bwe divest the capital Ecorbit Co., Ltd (former name TSK Corp Co., Ltd) reported no longer a major shareholder of JSC - Binh Duong Water - Environment Corporation (HOSE: BWE) after selling 12 million BWE sharesKeeping, accounting for 6.22% of the capital. Session 02/05, BWE shares recorded the agreed transaction equal to the volume of Ecorbit shares sold, worth nearly VND 470 billion, equivalent to VND 39,150/share.This session, BWE closed at 43,000 VND/share. Previously, Ecorbit successfully bought 12 million BWE shares on November 5, 2020 (not owned any stock",What was the purchase price per BWE share bought by Ecorbit in November 2020?,"VND 39,150/share",https://vietstock.vn/2024/05/lai-56-sau-hon-3-nam-dau-tu-co-dong-lon-bwe-thoai-sach-von-739-1187861.htm
"CC1 planned 2024 record high, wanted to issue more than 232 million shares to increase capital According to the 2024 Annual General Meeting of Shareholders, CC1 aims to business 2024 ambitious with a net revenue of 11,600 billion dong and interest of 590 billion dong before tax, 2 times higher than 2023. Notably, businesses want toIssuing more than 232 million shares to increase capital. Business plan 2024 records In 2024, Construction Corporation No. 1 - Joint Stock Company (UPCoM: CC1) set an ambitious business plan with the goal of net revenue of 11,600 billion dong and a pre -tax interest",How many shares does CC1 plan to issue to increase capital in 2024?,More than 232 million shares.,https://vietstock.vn/2024/05/cc1-len-ke-hoach-2024-cao-ky-luc-muon-phat-hanh-hon-232-trieu-cp-de-tang-von-737-1189253.htm
"(ĐTCK) Construction Corporation No. 1 - JSC (Code CC1 - UPCoM) announced documents of the Annual General Meeting of Shareholders in 2024, the Congress held on 24/5 in the form of online. In 2024, Construction Corporation No. 1 plans to revenue 11,600 billion dong, up 107% over the same period, profit before tax is expected to 590 billion dong, up 95% compared to 2023. In 2023.There are expected to increase from 9% in 2023 to 12% in 2024. It is known that in 2023, Construction Corporation No. 1 recorded net revenue reaching 5,611 billion dong, equal to 52% of the",What is the revenue target for Construction Corporation No. 1 in 2024?,"11,600 billion dong.",https://www.tinnhanhchungkhoan.vn/tong-cong-ty-xay-dung-so-1-cc1-len-ke-hoach-lai-nam-2024-tang-95-len-590-ty-dong-post345028.html
"Financial activities help the CEO escape back Financial revenue is 4 times and interest expenses are only 1/3, creating no more favorable conditions for the CEO of 36 billion dong in the first quarter of 2024, up 26% over the same period last year. Revenue, net profit and financial expenses quarterly from 2020 In the first quarter of 2024, profit of C.E.O Group Corporation (HNX: CEO) decreased by 14%, to VND 90 billion due to reduced revenue size.In particular, real estate business (VND 96 billion) and service provision (VND 193 billion) fluctuated in the opposite direction, decreased by 60% and",By what percentage did the profit of C.E.O Group Corporation decrease in the first quarter of 2024?,14%.,https://vietstock.vn/2024/05/hoat-dong-tai-chinh-giup-ceo-thoat-canh-di-lui-737-1188507.htm
"(ĐTCK) PYN Elite's investment efficiency in April is -8.2%, mainly by bank stocks with short -term profit. In April 2024, the VN-Dindex index dropped by 8.5% in the middle of the month before recovering.Generally in April, the VN-Index decreased by 5.8% compared to the previous month.In this context, PYN Elite's investment efficiency is -8.2%, mainly by bank stocks with short -term profit and Vietnam's local currency weakened. More specifically, the dong has discounted 2.1% against the USD in April, raising concerns about increasing interest rates.However, this discount is similar to other coins in the region and reflects the power of",By how much did the VN-Index decrease in April 2024 compared to the previous month?,5.8%.,https://www.tinnhanhchungkhoan.vn/pyn-elite-bao-lo-thang-4-vi-co-phieu-ngan-hang-mot-ma-cong-nghe-lan-dau-xuat-hien-trong-danh-muc-dau-tu-lon-post344981.html
"Technical analysis in the afternoon of May 9: Psychological caution is covering VN-Index and HNX-Index increased down and downwards with a significant decline in the morning, showing that investors are quite careful in the transaction. Technical signals of VN-Index In the morning session on May 9, 2024, VN-Index decreased with the volume with a decline in the morning, showing that the psychology of investors is quite pessimistic. Currently, the index is testing the 50-day SMA line and the old resistance in September 2023 (equivalent to 1,235-1,255 points).In a more positive scenario, if the index continues to successfully conquer this resistance","What is the current psychological state of investors according to the technical analysis on May 9, 2024?",Investors are quite cautious and pessimistic.,https://vietstock.vn/2024/05/phan-tich-ky-thuat-phien-chieu-0905-tam-ly-than-trong-dang-bao-trum-585-1188564.htm
"Technical analysis in the afternoon of May 9: Psychological caution is covering VN-Index and HNX-Index increased down and downwards with a significant decline in the morning, showing that investors are quite careful in the transaction. Technical signals of VN-Index In the morning session on May 9, 2024, VN-Index decreased with the volume with a decline in the morning, showing that the psychology of investors is quite pessimistic. Currently, the index is testing the 50-day SMA line and the old resistance in September 2023 (equivalent to 1,235-1,255 points).In a more positive scenario, if the index continues to successfully conquer this resistance","What is the current psychological state of investors according to the technical analysis on May 9, 2024?",Investors are quite cautious and pessimistic.,https://vietstock.vn/2024/05/phan-tich-ky-thuat-phien-chieu-0805-thi-truong-dien-bien-phan-hoa-585-1188224.htm
"Technical analysis in the afternoon of May 9: Psychological caution is covering VN-Index and HNX-Index increased down and downwards with a significant decline in the morning, showing that investors are quite careful in the transaction. Technical signals of VN-Index In the morning session on May 9, 2024, VN-Index decreased with the volume with a decline in the morning, showing that the psychology of investors is quite pessimistic. Currently, the index is testing the 50-day SMA line and the old resistance in September 2023 (equivalent to 1,235-1,255 points).In a more positive scenario, if the index continues to successfully conquer this resistance","What is the current psychological state of investors according to the technical analysis on May 9, 2024?",Investors are quite cautious and pessimistic.,https://vietstock.vn/2024/05/phan-tich-ky-thuat-phien-chieu-1005-sac-do-bao-trum-thi-truong-585-1188935.htm
"Dam Ha Bac continues to be profitable by restructuring the huge debt At the end of the first quarter, Ha Bac Nitrogenous and Chemical Joint Stock Company (UPCoM: DHB) continues to report interest despite the same loss of nearly 130 billion dong.However, the business activities of the company actually still lose more than VND 100 billion. DHB's business criteria in the first quarter of 2024 Source: Vietstockfinance In the first quarter of 2024, DHB recorded more than 1 trillion dong of revenue, 15%lower than the same period.After deducting cost of capital, gross profit reached 25 billion dong, down nearly 70%.",What was DHB's gross profit in the first quarter of 2024?,25 billion dong.,https://vietstock.vn/2024/05/dam-ha-bac-tiep-tuc-co-lai-nho-tai-co-cau-khoan-no-khong-lo-737-1187726.htm
"(ĐTCK) After canceling the capital calling plan in April 2023, Construction Development Investment Corporation (DIC Corp, code DIG - HOSE) returns to a new mobilization plan of VND 3,000 billion from existing shareholders. On 10/5, DIC Corp approved the plans to offer shares to existing shareholders at a ratio of 1,000: 327.94, equivalent to offering an additional 200 million shares for 15,000 VND/share, mobilizing 3,000 billion billioncopper and expected to be implemented from the second quarter to the fourth quarter/2024. It is known that in terms of stock prices, closing the session on 10/5, DIG shares are trading on the",What is the planned share offering price for existing shareholders by DIC Corp?,"15,000 VND/share.",https://www.tinnhanhchungkhoan.vn/dic-corp-dig-len-ke-hoach-chao-ban-200-trieu-co-phieu-voi-gia-thap-hon-476-thi-truong-post345002.html
"A factory manufacturing woven bags (Artwork) This product has been investigated against anti -dumping and anti -subsidy by the United States in 2018 and imposed taxes since 2019. The Department of Trade Defense (Ministry of Industry and Trade) has just informed that the US Department of Commerce (Doc) on May 1, 2024 announced the first review of the first period of the first period for anti -dumping tax order.(CBPG) and anti -subsidy tax (CTC) products of woven bags (Laminated woven sacs) imported from Vietnam. The product is investigated as woven bags, with HS code 6305.33.0040, 3917.39.0050, 3921.90.1100, 3921.90.1500, 3923.21.0080, 3923.21.0015,",When did the US impose taxes on woven bags imported from Vietnam?,Since 2019.,https://www.tinnhanhchungkhoan.vn/hoa-ky-ra-soat-lan-cuoi-lenh-ap-thue-chong-ban-pha-gia-tui-det-tu-viet-nam-post344870.html
"The US Department of Commerce (DOC) has just issued a notice of termination of investigation to consider the scope of the product for steel wheels imported from Vietnam as prescribed in Section 351.225 (F) (6) of the Tax Actmandarin. The US terminates the investigation of steel wheels from Vietnam Earlier, on August 7, 2023, the US Department of Commerce initiated an investigation to consider the scope of the product for steel wheels imported from Vietnam. The Department of Commercial Division (Ministry of Industry and Trade) said that Dexstar Company, USA (plaintiffs in the case of the US incident against anti",When did the US Department of Commerce initiate the investigation into steel wheels imported from Vietnam?,"August 7, 2023.",https://www.tinnhanhchungkhoan.vn/my-cham-dut-dieu-tra-banh-xe-keo-bang-thep-nhap-khau-tu-viet-nam-post344897.html
"Technical analysis in the afternoon of May 8: the market is differentiated VN-Index and HNX-Index increased down and downwards with a significant increase in the volume of trading in the morning, showing the psychological psychology of investors. Technical signals of VN-Index In the morning session on May 8, 2024, VN-DDEX decreased at the same time, the high wave candle candle pattern with a significant increase in the morning session showed that the psychology of investors is quite divided.Cloud. Currently, the index tends to move across in the context of Bollinger Bands is gradually narrowing (Bollinger Squeeze) and the ADX indicator","What does the significant increase in trading volume in the morning session of May 8, 2024, indicate about investor psychology?",It indicates that investor psychology is quite divided.,https://vietstock.vn/2024/05/phan-tich-ky-thuat-phien-chieu-0905-tam-ly-than-trong-dang-bao-trum-585-1188564.htm
"Technical analysis in the afternoon of May 8: the market is differentiated VN-Index and HNX-Index increased down and downwards with a significant increase in the volume of trading in the morning, showing the psychological psychology of investors. Technical signals of VN-Index In the morning session on May 8, 2024, VN-DDEX decreased at the same time, the high wave candle candle pattern with a significant increase in the morning session showed that the psychology of investors is quite divided.Cloud. Currently, the index tends to move across in the context of Bollinger Bands is gradually narrowing (Bollinger Squeeze) and the ADX indicator","What does the significant increase in trading volume in the morning session of May 8, 2024, indicate about investor psychology?",It indicates that investor psychology is quite divided.,https://vietstock.vn/2024/05/phan-tich-ky-thuat-phien-chieu-0805-thi-truong-dien-bien-phan-hoa-585-1188224.htm
"Technical analysis in the afternoon of May 8: the market is differentiated VN-Index and HNX-Index increased down and downwards with a significant increase in the volume of trading in the morning, showing the psychological psychology of investors. Technical signals of VN-Index In the morning session on May 8, 2024, VN-DDEX decreased at the same time, the high wave candle candle pattern with a significant increase in the morning session showed that the psychology of investors is quite divided.Cloud. Currently, the index tends to move across in the context of Bollinger Bands is gradually narrowing (Bollinger Squeeze) and the ADX indicator","What does the significant increase in trading volume in the morning session of May 8, 2024, indicate about investor psychology?",It indicates that investor psychology is quite divided.,https://vietstock.vn/2024/05/phan-tich-ky-thuat-phien-chieu-1005-sac-do-bao-trum-thi-truong-585-1188935.htm
"Da Nang rubber is about to spend more than VND 83 billion in the remaining dividend of 2023 Da Nang Rubber Joint Stock Company (HOSE: DRC) is about to spend more than VND 83 billion to pay the remaining dividends in 2023, after paying more than VND 59 billion in the advance in January 2024. The last dividend of 2023 will have a rate of 7%, equivalent to a shareholder who owns 1 share to receive 700 dong.The day of unpaid trading is June 10, the date of payment is June 28. With nearly 119 million shares in circulation, DRC",What is the dividend rate for Da Nang Rubber's last dividend of 2023?,7%.,https://vietstock.vn/2024/05/cao-su-da-nang-sap-chi-hon-83-ty-dong-co-tuc-con-lai-cua-nam-2023-738-1189269.htm
"Technical analysis in the afternoon of 10/05: red covers the market VN-Index and HNX-Index simultaneously decreased with the volume of trading with a decline in the morning, showing that the psychology was not very optimistic of investors. Technical signals of VN-Index In the morning session on 10/05/2024, VN-Index continued to reduce the score accompanied by the trading volume with a decline in the morning, showing that the psychology of the private house is not very optimistic. In addition, the index is struggling on Middle in the context of Bollinger Bands is gradually narrowing (Bollinger Squeeze) shows that the movement of",How did the VN-Index perform in the morning session of 10/05/2024?,The VN-Index continued to decrease.,https://vietstock.vn/2024/05/phan-tich-ky-thuat-phien-chieu-0905-tam-ly-than-trong-dang-bao-trum-585-1188564.htm
"Technical analysis in the afternoon of 10/05: red covers the market VN-Index and HNX-Index simultaneously decreased with the volume of trading with a decline in the morning, showing that the psychology was not very optimistic of investors. Technical signals of VN-Index In the morning session on 10/05/2024, VN-Index continued to reduce the score accompanied by the trading volume with a decline in the morning, showing that the psychology of the private house is not very optimistic. In addition, the index is struggling on Middle in the context of Bollinger Bands is gradually narrowing (Bollinger Squeeze) shows that the movement of",How did the VN-Index perform in the morning session of 10/05/2024?,The VN-Index continued to decrease.,https://vietstock.vn/2024/05/phan-tich-ky-thuat-phien-chieu-0805-thi-truong-dien-bien-phan-hoa-585-1188224.htm
"Technical analysis in the afternoon of 10/05: red covers the market VN-Index and HNX-Index simultaneously decreased with the volume of trading with a decline in the morning, showing that the psychology was not very optimistic of investors. Technical signals of VN-Index In the morning session on 10/05/2024, VN-Index continued to reduce the score accompanied by the trading volume with a decline in the morning, showing that the psychology of the private house is not very optimistic. In addition, the index is struggling on Middle in the context of Bollinger Bands is gradually narrowing (Bollinger Squeeze) shows that the movement of",How did the VN-Index perform in the morning session of 10/05/2024?,The VN-Index continued to decrease.,https://vietstock.vn/2024/05/phan-tich-ky-thuat-phien-chieu-1005-sac-do-bao-trum-thi-truong-585-1188935.htm
"The visit of the NVIDIA leadership - ""Big Tech"" worth more than US $ 2,000 billion, created a great nudity that pushed the value of Vietnam's technology corporations to a record high.After FPT, it was CMC Corp (CMG )'s turn to ""pick up"" to the top. CMG shares have just increased Tran Phien 8/5 to 51,800 VND/share, the highest since listing.The market capitalization also set a record of nearly VND 10,000 billion, an increase of 60% compared to the time a year ago and nearly 5 times the new time ""wet legs, dry feet"" on the floor. CMC Corp listed",By how much did CMG shares increase on Tran Phien 8/5?,"To 51,800 VND/share.",https://cafef.vn/cham-ban-tay-vang-cua-nvidia-mot-co-phieu-cong-nghe-cua-viet-nam-vua-tiep-buoc-fpt-lap-dinh-moi-gia-tri-cong-ty-cao-ky-luc-188240508133434556.chn
"FPT imports the first DGX H100 servers to Vietnam On May 9, 2024, FPT imported the first DGX H100 server system to return home, initially realizing the strategic cooperation project to promote the development of artificial intelligence in Vietnam with NVIDIA.FPT is gradually implementing the Memorandum of Understanding cooperation with NVIDIA at the end of April, implementing the Artificial Intelligence Plant Project (AI Factory) to develop the AI ​​ecosystem and Cloud with sovereignty in VietnamMale. This is NVIDIA's most advanced server system, according to NVIDIA is the most powerful AI machine today, which is sought by a series of leading",When did FPT import the first DGX H100 server system to Vietnam?,"May 9, 2024.",https://cafef.vn/fpt-nhap-he-thong-may-chu-dgx-h100-huan-luyen-ai-dau-tien-cua-nvidia-ve-viet-nam-18824050918540153.chn
"FPT imports Nvidia's DGX H100 server system to Vietnam On 09/05, the DGX H100 server system was imported to Vietnam, marking the initial mark of realizing the strategic cooperation project of FPT JSC (HOSE: FPT) and NVIDIA to promote artificial intelligence development inVietnam. FPT has gradually implemented a memorandum of cooperation with NVIDIA at the end of April, implementing the project of artificial intelligence factory (AI Factory) to develop AI ecosystem and sovereignty in Vietnam. *NVIDIA and Vietnamese enterprises built AI factory 200 million USD FPT imports the first DGX H100 servers to Vietnam.Photo: FPT DGX H100 is NVIDIA's most",When did FPT import the DGX H100 server system to Vietnam?,On September 5th.,https://vietstock.vn/2024/05/fpt-nhap-he-thong-may-chu-dgx-h100-cua-nvidia-ve-viet-nam-4264-1188805.htm
"Welcoming new major shareholders, members of the Board of Directors HAG resigned after 30 years of attachment Hoang Anh Gia Lai Joint Stock Company (HAGL, HOSE: HAG) said that he had received the resignation of the Board of Directors of Mr. Nguyen Chi Thang dated May 7 for personal reasons. Mr. Nguyen Chi Thang - Member of the Board of Directors HAGL Mr. Thang (born in 1975) worked at HAGL Business Enterprise from March 1994-2007 as KCS staff.After that, he held the position of Deputy Director of Wood Processing Workshop Co., Ltd. Hoang Anh Quang Minh Rubber Industry Co., Ltd.",When did Mr. Nguyen Chi Thang resign from the Board of Directors of HAGL?,May 7.,https://vietstock.vn/2024/05/don-co-dong-lon-moi-thanh-vien-hdqt-hag-tu-nhiem-sau-30-nam-gan-bo-214-1188200.htm
"HAG sets a plan to profit after tax 2024 to go back, the main source of revenue from fruit trees According to the 2024 Annual General Meeting of Shareholders, Hoang Anh Gia Lai Joint Stock Company (HAGL, HOSE: HAG) aims to increase the total revenue increased by 20%, the key comes from fruit trees.However, the profit after tax goes back. In 2024, HAGL plans to have a net revenue of VND 7,750 billion, up 20% compared to the previous year.In particular, accounting for the largest proportion of fruit trees (71%), expected to bring in 5,540 billion dong, an increase of",What is the expected net revenue for HAGL in 2024?,"VND 7,750 billion.",https://vietstock.vn/2024/05/hag-dat-ke-hoach-lai-sau-thue-2024-di-lui-nguon-thu-chu-luc-tu-cay-an-trai-737-1188506.htm
